law_index,madeh_index,madeh_text
0,1,"ماده 1
اشخاص زیر مشمول پرداخت مالیات میباشند:
1 - کلیه مالکین اعم از اشخاص حقیقی یا حقوقی نسبت به اموال یا املاک خود واقع در ایران طبق مقررات باب دوم.
2 - هر شخص حقیقی ایرانی مقیم ایران نسبت به کلیه درآمدهائی که در ایران یا خارج از ایران تحصیل می‌نماید.
3 - هر شخص حقیقی ایرانی مقیم خارج از ایران نسبت به کلیه درآمدهائی که در ایران تحصیل می ‌کند.
4 - هر شخص حقوقی ایرانی نسبت به کلیه درآمدهائی که در ایران یا خارج از ایران تحصیل می‌نماید.
5 - هر شخص غیرایرانی (‌اعم از حقیقی و یا حقوقی) نسبت به درآمدهائی که در ایران تحصیل می ‌نماید و همچنین نسبت به درآمدهائی که بابت ‌واگذاری امتیازات یا سایر حقوق خود و یا دادن تعلیمات و کمکهای فنی و یا واگذاری فیلمهای سینمائی (‌که به عنوان بها یا حق نمایش یا هر عنوان‌ دیگر عاید آنها میگردد) از ایران تحصیل می‌کند.

"
0,2,"‌ماده 2
اشخاص زیر مشمول پرداخت مالیات‌های موضوع این قانون نیستند:

1- وزارتخانه‌ها و موسسات دولتی.

2- دستگاه­هایی که بودجه آنها وسیله دولت تامین می‌شود.

3- شهرداری‌ها و دهیاری‌ها.

تبصره‌– اعمال این ماده از زمان تاسیس دهیاری‌های کشور می‌باشد. مالیات‌هایی که قبل از لازم الاجرا شدن این قانون به دهیاری‌ها تعلق گرفته و اخذ شده است، مشمول معافیت این قانون نمی‌شود.

4- بنیادها و نهادهای انقلاب اسلامی دارای مجوز معافیت از طرف حضرت امام خمینی(ره) و مقام معظم رهبری.

‌تبصره ‌1- شرکت‌هایی که تمام یا قسمتی از سرمایه آنها متعلق به اشخاص و موسسه‌های مذکور در بندهای فوق باشد، سهم درآمد یا سود آنها‌ مشمول حکم این ماده نخواهد بود. حکم این تبصره مانع استفاده شرکت‌های مزبور از معافیت‌های مقرر در این قانون، حسب مورد، نیست.

تبصره 2 - درآمدهای حاصل از فعالیت‌های اقتصادی از قبیل فعالیت‌های صنعتی، معدنی، تجاری، خدماتی و سایر فعالیت‌های تولیدی برای‌ اشخاص موضوع این ماده، که به نحوی غیر از طریق شرکت نیز تحصیل می‌شود، در هر مورد به طور جداگانه به نرخ مذکور در ماده‌ (105) این قانون‌ مشمول مالیات خواهد بود.

مسئولان اداره امور در این‌گونه موارد نسبت به سهم فعالیت مذکور مکلف به انجام دادن تکالیف مربوط طبق مقررات این قانون خواهند بود. در غیر ‌این صورت نسبت به پرداخت مالیات متعلق با مودی مسئولیت تضامنی خواهند داشت.

تبصره ‌3- نسخ شده است.

"
0,3,"‌ماده 3
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات سالانه املاک نسخ شده است.

"
0,4,"ماده 4
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات سالانه املاک نسخ شده است.

"
0,5,"‌ماده 5
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات سالانه املاک نسخ شده است.

"
0,6,"‌ماده 6
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات سالانه املاک نسخ شده است.

"
0,7,"‌ماده 7
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات سالانه املاک نسخ شده است.

"
0,8,"‌ماده 8
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات سالانه املاک نسخ شده است.

"
0,9,"‌ماده 9
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات سالانه املاک نسخ شده است.

"
0,10,"ماده 10
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات مستغلات مسکونی خالی نسخ شده است.
البته به موجب بند 12 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، مقررات مربوط به وضع مالیات بر واحدهای مسکونی خالی در ماده 54 مکرر الحاقی به قانون مزبور، تصریح شده است.

"
